IND1990,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
860,34186907.84349991,4807973.289899999,29378934.553599898,1857635.2040000004,10068,1191,0.14063785212484956,0.05433761990127457,TRUE
870,33205489.323200032,5703551.910699999,27501937.412499987,2092150.3876000019,10109,1491,0.17176533238783015,0.0630061604343911,TRUE
352,33027260.965300146,4876886.134500006,28150374.83080021,1355345.8163999997,9423,1258,0.14766244586930388,0.04103718494318932,TRUE
623,32826724.11189987,6014539.5745,26812184.537399985,2557658.306599998,8827,1478,0.18322082806671824,0.07791390630028881,TRUE
740,31903624.635999892,5018115.241399999,26885509.394599896,1803537.5619000006,8510,1098,0.1572898157702615,0.056530804335783766,TRUE
731,31817029.069099944,6371320.5375000015,25445708.531599972,3597376.8597000027,8763,1481,0.200248757470813,0.11306451183381237,TRUE
642,30403541.51350002,5169289.328800002,25234252.184699897,1519086.0983000002,8774,1277,0.17002260498187993,0.049964116766643245,TRUE
891,30022332.20510007,7525620.587799994,22496711.61730002,3306352.719399999,9071,1981,0.2506674210513723,0.11012977595519143,TRUE
331,30010497.974799886,3921097.3389,26089400.6358999,1825957.6841000002,8573,1012,0.13065752331709338,0.060843964856340436,TRUE
550,28847308.632599987,7340929.573000003,21506379.059600066,4251182.441999999,8354,1767,0.25447537122073527,0.14736842511525633,TRUE
450,28392659.32219993,2993727.045000001,25398932.27719995,1197581.3606999998,9279,751,0.10544017772436118,0.04217926003724573,TRUE
663,28340957.379600007,7436292.9394,20904664.440200012,4257195.075300007,7310,1772,0.262386793776864,0.1502135237804056,TRUE
11,26388685.450800084,4957860.381800006,21430825.068999983,3861154.801600001,11907,1702,0.18787826286548456,0.146318573117212,TRUE
421,26323938.944699943,4626238.830499997,21697700.114199925,1148020.3423999995,7367,1082,0.17574265159247543,0.043611267478309575,TRUE
372,25374439.27120009,6087743.5549000045,19286695.716299985,1917855.8946999987,7152,1574,0.23991637765211918,0.07558219806168325,TRUE
181,24897681.301599912,6574311.171899998,18323370.12970002,2487223.357400003,6623,1603,0.264053149860085,0.09989779077299761,TRUE
471,23843447.132000044,3662361.2503000046,20181085.881700065,2159872.1992000006,7134,849,0.15360032591029119,0.09058556790227108,TRUE
761,23834568.305700004,12036986.618599972,11797581.687099991,8316922.030399992,6622,3016,0.5050222208438885,0.34894368229069256,TRUE
721,23144791.912299942,2600258.360600003,20544533.55170002,1094154.0694,6465,650,0.11234745036606425,0.04727431007139574,TRUE
931,22364655.121100023,2194197.0755999982,20170458.04550002,299003.70229999995,8263,662,0.0981100340568129,0.013369475213498986,TRUE
412,22273267.418800097,2775721.237200001,19497546.181600038,565731.2942999998,6670,680,0.1246211965675548,0.025399564583976825,TRUE
172,22116325.76629992,3332456.870199997,18783868.89609997,1535820.4418000001,6292,814,0.15067859396780445,0.06944283865361711,TRUE
402,21482434.95689999,12842310.871799998,8640124.085099986,5601556.273600001,5244,2865,0.5978051788619589,0.26075052873840193,TRUE
440,19304845.530500006,3575246.8539000023,15729598.676600037,1927999.8741000013,5422,897,0.18519945410862873,0.09987129247182663,TRUE
760,19137341.96760003,4118092.6715000076,15019249.296100048,2523332.2890000017,5961,980,0.2151862405172064,0.13185385375210742,TRUE
180,18400126.9503,3423309.7139,14976817.236399986,1884144.2904000012,5223,819,0.18604815733862018,0.10239843972213906,TRUE
621,18157907.54879993,3573824.7722999994,14584082.776499959,1604204.0464000013,5625,888,0.19681919641320106,0.08834740688532829,TRUE
620,17495508.49449997,1879027.5988999985,15616480.89559996,1097572.9346000003,5439,451,0.10740057080882816,0.06273455469699793,TRUE
651,17354632.11640003,1421983.5228999997,15932648.593500042,627404.9199999997,5572,349,0.08193682893204249,0.036152014965912506,TRUE
691,17161155.64100003,3271926.7272000033,13889228.913799997,1416931.3395000007,4496,739,0.19065888076808674,0.08256619595680283,TRUE
631,17120041.829099998,3124969.1394999996,13995072.689599978,1539844.4028000005,5136,701,0.18253279814937692,0.0899439626474879,TRUE
800,17006664.63770003,1854865.3359999983,15151799.30169999,721206.5824000001,4386,427,0.10906696730458072,0.04240729136277809,TRUE
401,16635739.011900004,3504586.4740999974,13131152.53780002,737258.6052999999,4553,765,0.210666112974787,0.044317754971547614,TRUE
100,16398754.728600007,6702582.4715,9696172.257100018,4656971.166999997,5823,2433,0.40872508811967656,0.2839832197061936,TRUE
830,16267951.972000005,2019983.0339999981,14247968.938000008,675551.9237000004,4791,541,0.12416947366679855,0.04152655016825373,TRUE
391,16076651.287500042,3114290.6156000006,12962360.671900041,1549261.8644000017,4762,800,0.19371513133592885,0.09636719965460641,TRUE
442,16019709.05580002,2759089.307900001,13260619.747900022,1136713.1200999997,4529,617,0.17223092493687067,0.07095716383740731,TRUE
42,15639723.654300028,2532523.6138,13107200.040500013,1426671.6172999996,6546,692,0.16192892341187248,0.09122102466994336,TRUE
