OCC2010,emp_tot,emp_for,emp_nat,emp_noncit,n_obs,n_obs_for,foreign_share,noncit_share,usable
9610,13573809.095500067,3543863.580899997,10029945.514600012,2579948.1927999994,3626,844,0.26108099472791646,0.19006810650190248,TRUE
160,13382675.846700003,1668008.6082000004,11714667.238500006,576568.1088,3813,406,0.12463939404250832,0.043083170765297614,TRUE
4965,13374697.623800006,1701365.3424,11673332.281400014,691264.4997,3854,415,0.12720776127098787,0.05168449554103629,TRUE
540,13331494.6122,813627.0253999999,12517867.586799989,223457.56410000005,3665,205,0.06103044325243387,0.01676162880458341,TRUE
3050,12696668.162799953,2483482.0354,10213186.127399981,334075.9809,3776,602,0.19560108239076213,0.02631209830928805,TRUE
8220,12673877.646499962,3308038.4835999985,9365839.162900006,1648895.2124000015,3576,838,0.2610123417526878,0.1301018724017241,TRUE
1965,12646596.226900049,1887542.9072999991,10759053.31960003,1000492.0791999996,3757,492,0.14925303800599604,0.07911156972592313,TRUE
910,12582363.918300008,1189236.239699999,11393127.678600013,298379.9288000001,3873,319,0.09451612172577152,0.023714139150436683,TRUE
2330,12373282.554000007,785495.8117999997,11587786.7422,194920.12870000003,3822,205,0.06348321945869298,0.015753307810544317,TRUE
7210,12217586.93310002,1926447.7462000002,10291139.186900014,1064323.1746999992,3823,442,0.15767825158508567,0.0871140250957841,TRUE
4350,12072315.328700015,986720.3263000005,11085595.002400039,573999.2269999996,3486,264,0.08173414125078637,0.04754673907791387,TRUE
4200,12022722.465899998,3374319.3101999997,8648403.155700013,2001521.320399999,3672,888,0.2806618317748387,0.16647821041173547,TRUE
9000,11795905.347699983,2100653.2925,9695252.05519999,791444.8110999999,3465,493,0.1780832611470212,0.06709487638049921,TRUE
2600,11755135.317099994,1508007.5811999994,10247127.735900017,674496.8315999998,3575,367,0.128285004002151,0.05737890831582524,TRUE
3300,11708271.752900036,2630958.704699998,9077313.048199989,691319.2305,3477,645,0.22470939863932798,0.05904536938415068,TRUE
3800,11611861.25019998,1012236.8312,10599624.418999994,256109.23280000003,3285,213,0.08717265986816432,0.02205582957646771,TRUE
3245,11545302.327400038,1111295.6447000003,10434006.682700032,334973.68620000005,3311,273,0.0962552225299985,0.029013851409072193,TRUE
4150,11395657.556599988,1170866.0792999999,10224791.477299986,725255.6527999998,3058,278,0.10274668868246861,0.06364315961565165,TRUE
565,11281414.244300008,1239741.2220999997,10041673.022200016,286826.3656,3548,306,0.1098923588171922,0.02542468163908798,TRUE
136,11279164.230800018,1136788.6080000007,10142375.622800015,300469.4662,3337,277,0.10078659949783972,0.026639337813657144,TRUE
5840,11082465.567799991,851578.953,10230886.614799995,226288.78380000003,3150,203,0.07684020742408218,0.020418631794127128,TRUE
3640,10936320.510299997,2129643.773299999,8806676.736999996,923211.3549999995,3164,509,0.19473128748323235,0.0844169987639357,TRUE
3160,10877413.994799988,1050298.9841,9827115.010699999,233396.90379999994,3325,261,0.09655778336671764,0.021457021302266944,TRUE
8030,10846039.98609998,1395149.9619999998,9450890.02409999,551070.9746000001,3293,341,0.12863219790706928,0.0508084955713089,TRUE
3740,10830245.320100006,246748.94179999997,10583496.37829999,80696.13429999999,3096,66,0.022783319722412484,0.007450997822757984,TRUE
5550,10726356.431399992,1169451.4559,9556904.97549998,172657.44380000004,3243,298,0.10902597385973352,0.016096560365509407,TRUE
8800,10655664.188899998,4750175.104499999,5905489.084400008,3394179.287100003,3056,1415,0.4457887392367578,0.3185328691791656,TRUE
4130,10599316.666699972,2536171.546699997,8063145.120000003,1653132.0499999998,2958,658,0.2392768917517036,0.15596590817912526,TRUE
530,10367043.931699993,1162920.0285000007,9204123.903199995,382787.5363999999,3121,290,0.11217469860854583,0.03692349901494343,TRUE
3258,10322588.408199996,1355698.8128999996,8966889.595299998,130219.02989999996,3202,326,0.13133322373127534,0.012614959034553518,TRUE
140,10225139.819400014,1428816.6592000003,8796323.160200017,611177.0824999998,3130,339,0.13973565979891311,0.05977200246596356,TRUE
4210,10211268.67199998,2788201.793800003,7423066.8781999955,1848624.9368000005,3002,684,0.2730514574986602,0.18103773352561575,TRUE
1410,9765663.028300008,2565816.238400001,7199846.789900006,1064158.0004999992,2857,623,0.2627385596824811,0.10896935491386152,TRUE
2850,9683658.415399972,730772.4313000008,8952885.984099982,304735.01139999996,3004,184,0.07546449905108689,0.03146899635734551,TRUE
4140,9503570.42499999,3389432.864400003,6114137.560599997,2777028.988700006,2780,871,0.3566483661218312,0.2922090187699124,TRUE
1430,9441475.710299969,1793862.1655999986,7647613.544699999,865727.1860000001,2654,457,0.1899980702850323,0.09169405425208627,TRUE
3400,9378424.767299993,791565.8121999995,8586858.955099987,300476.8681000001,2713,183,0.08440285355382637,0.03203916175216129,TRUE
5520,9314752.801899988,1009163.4105999997,8305589.391299995,382960.6906999999,2770,229,0.10834033195106953,0.041113349848842476,TRUE
7000,9085094.776600007,824402.6820000001,8260692.094600003,324533.41190000006,2911,209,0.09074233150801796,0.03572152188614294,TRUE
2016,8893201.312199995,928698.1424999998,7964503.169699994,251431.29879999996,2852,261,0.1044278780944698,0.028272304873508035,TRUE
7810,8853091.750700003,3206500.4381999965,5646591.31250001,2392563.1827999987,2880,1011,0.36218990252150757,0.27025170981773927,TRUE
4320,8749464.82539999,2052551.7286000026,6696913.0968,505330.77110000025,2711,544,0.23459168869864774,0.05775562062184742,TRUE
4820,8607879.370600006,1135515.8171,7472363.55350001,481833.8105,2239,268,0.13191586083075532,0.055975901816850644,TRUE
7800,8523033.56949999,2870749.351300001,5652284.218199991,2002655.1573000008,2414,726,0.33682248554940464,0.2349697605869559,TRUE
150,8360058.443999968,974697.8394999998,7385360.604499976,371342.9214,2469,234,0.11658983558895364,0.044418699209754164,TRUE
3655,8348957.171099995,1453807.1261,6895150.044999991,561003.3595000001,2417,353,0.17413038494584318,0.06719442296840608,TRUE
5810,8274404.605700008,902203.8754999997,7372200.730200002,351903.48880000005,2388,231,0.10903550388126979,0.04252916138009295,TRUE
6515,8226896.302899999,4605250.366100004,3621645.936799996,4003492.704900004,2277,1172,0.5597797998835409,0.4866346380820145,TRUE
1820,8139495.858200018,557351.0165,7582144.841700021,132991.2734,2426,151,0.06847488176291713,0.016339006213268094,TRUE
4430,8109492.394199999,640890.5770999998,7468601.817100008,337923.99150000006,2346,163,0.07902967854786719,0.04167017799309944,TRUE
1300,8079505.49569998,1279569.6276999991,6799935.867999992,561598.7173999997,2403,326,0.15837227023126638,0.06950904578242938,TRUE
100,7868147.232899994,747175.9123999999,7120971.320499994,303133.4646999999,2472,215,0.09496211627506751,0.03852666399434836,TRUE
5160,7866299.290199999,786893.9483000004,7079405.341899991,256043.98179999995,2613,229,0.10003356334030278,0.032549483861996575,TRUE
1007,7820785.839799991,1064100.4563,6756685.383499991,450334.53359999997,2139,248,0.13606055428404537,0.057581749817038445,TRUE
5600,7790585.96589999,855869.4090999993,6934716.556799991,328964.6782000001,2356,208,0.10985943969378008,0.0422259223683436,TRUE
2910,7778628.963699995,1109738.2516999997,6668890.711999997,535125.2431999998,2161,264,0.14266501935993356,0.0687942882604676,TRUE
4120,7728974.669499994,1729577.5983999996,5999397.0710999975,708392.4696,2169,439,0.22377840171028662,0.0916541326491147,TRUE
2750,7712187.530999988,956785.6196999999,6755401.911299994,465851.505,2100,232,0.12406150859974484,0.060404587301262906,TRUE
7630,7689387.650599991,1587849.3106999993,6101538.3399,998632.0187999997,2218,364,0.20649879845452998,0.12987146235527325,TRUE
9150,7684714.526399998,2280057.717699999,5404656.808700007,937097.7184999996,2098,511,0.2967003796780101,0.12194307482479702,TRUE
3310,7669254.738900009,1149403.5426,6519851.196300009,305594.1036,2487,298,0.1498716083545893,0.0398466492513236,TRUE
