date,window,pctile,wage,n,months,wage_lag12,yoy
2025-04-01,12,p10,14.65,67594,12,14.22037037037037,0.030212267222294642
2025-05-01,12,p10,14.677777777777777,67269,12,14.257936507936508,0.029446145282493674
2025-06-01,12,p10,14.698148148148148,67098,12,14.322222222222223,0.026247737264028848
2025-07-01,12,p10,14.74074074074074,66741,12,14.368055555555555,0.025938456581279246
2025-08-01,12,p10,14.75,66545,12,14.38888888888889,0.025096525096525157
2025-09-01,12,p10,14.76388888888889,66399,12,14.44920634920635,0.021778534549049766
2025-10-01,12,p10,14.766666666666667,60819,11,14.526190476190477,0.016554663169972228
2025-11-01,12,p10,14.76388888888889,60458,11,14.544444444444444,0.015087853323147549
2025-12-01,12,p10,14.760047281323876,59890,11,14.58611111111111,0.011924780285011538
2026-01-01,12,p10,14.76388888888889,59269,11,14.63888888888889,0.008538899430740043
2026-02-01,12,p10,14.78888888888889,59036,11,14.642857142857142,0.009972899728997398
2026-03-01,12,p10,14.811111111111112,58762,11,14.644444444444444,0.011380880121396153
2026-04-01,12,p10,14.883333333333333,58683,11,14.65,0.015927189988623303
2026-05-01,12,p10,14.9,58788,11,14.677777777777777,0.01514004542013625
2026-06-01,12,p10,14.940740740740742,58607,11,14.698148148148148,0.016504976691445128
2026-07-01,12,p10,14.983333333333334,58690,11,14.74074074074074,0.016457286432160823
2026-08-01,12,p10,15.016666666666667,58473,11,14.75,0.01807909604519775
2023-01-01,12,p20,15.372222222222222,68108,12,14.627777777777778,0.05089251804025818
2023-02-01,12,p20,15.457407407407407,67633,12,14.733333333333333,0.04914529914529919
2023-03-01,12,p20,15.54320987654321,67398,12,14.85,0.046680799767219616
2023-04-01,12,p20,15.627777777777778,67120,12,14.916666666666666,0.04767225325884561
2023-05-01,12,p20,15.716666666666667,66858,12,14.972222222222221,0.04972170686456412
2023-06-01,12,p20,15.839506172839506,66462,12,15,0.05596707818930047
2023-07-01,12,p20,15.933333333333334,66116,12,15,0.06222222222222218
2023-08-01,12,p20,15.994444444444445,65952,12,15.027777777777779,0.06432532347504627
2023-09-01,12,p20,16.057142857142857,65953,12,15.083333333333334,0.06456195737963699
2023-10-01,12,p20,16.127991452991452,66002,12,15.122222222222222,0.06650935398180069
2023-11-01,12,p20,16.23054287163876,65930,12,15.195555555555556,0.06811118634651092
2023-12-01,12,p20,16.288888888888888,66148,12,15.294444444444444,0.0650199782055938
2024-01-01,12,p20,16.377777777777776,66238,12,15.372222222222222,0.0654138055655944
2024-02-01,12,p20,16.46666666666667,66452,12,15.457407407407407,0.06529291961183681
2024-03-01,12,p20,16.52929292929293,66635,12,15.54320987654321,0.06344140371145923
2024-04-01,12,p20,16.590740740740742,66821,12,15.627777777777778,0.0616186751984833
2024-05-01,12,p20,16.62037037037037,67024,12,15.716666666666667,0.05749970543183691
2024-06-01,12,p20,16.67222222222222,67340,12,15.839506172839506,0.05257209664847995
2024-07-01,12,p20,16.733333333333334,67378,12,15.933333333333334,0.05020920502092063
2024-08-01,12,p20,16.830246913580247,67453,12,15.994444444444445,0.05225579869553454
2024-09-01,12,p20,16.914957264957266,67642,12,16.057142857142857,0.0534226054688689
